sep=;
# Horario Semana 3

;;9;10;11;12;13;14;15;
ID;NOMBRE;LUN;MAR;MIE;JUE;VIE;SAB;DOM;
100;Arabela;Quetzalcoatl;LARGO;NOCHE;LIBRE;LIBRE;LARGO;NOCHE;LIBRE
110;Joana;Zapatero;LARGO;SOLICITUD;LARGO;NOCHE;LIBRE;LIBRE;LARGO
111;Gabbi;Perez;ENOCHE;LIBRE;LARGO;NOCHE;LIBRE;LIBRE;LARGO
121;Esme;Wu;NOCHE;ENOCHE;LIBRE;LARGO;NOCHE;LIBRE;LIBRE
131;Kitty;Yrizabal;DIA;DIA;DIA;DIA;DIA;LIBRE;LIBRE
133;Nepe;Nose;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE
145;bla;bla;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE
222;Arabela;Gutierrez;LARGO;NOCHE;LIBRE;LIBRE;LARGO;NOCHE;LIBRE
333;Joana;Velez;INCAPACIDAD;LARGO;NOCHE;LIBRE;ELARGO;LARGO;NOCHE
444;Esme;Pavarotti;LIBRE;LIBRE;LARGO;NOCHE;LIBRE;ENOCHE;LIBRE
555;Gabbi;Hernandez;LIBRE;LIBRE;NOCHE;LIBRE;LIBRE;LARGO;NOCHE
666;Arabela;Henriquez;LIBRE;LARGO;NOCHE;LIBRE;LIBRE;LARGO;NOCHE
777;Joana;Kowalsky;LIBRE;ELARGO;LIBRE;LARGO;NOCHE;LIBRE;LIBRE
888;Esme;Kira;NOCHE;LIBRE;LIBRE;LARGO;NOCHE;LIBRE;ELARGO
999;Gabbi;Quiroga;LIBRE;VACACION;VACACION;VACACION;VACACION;VACACION;VACACION

;LUTO;0;0;0;0;0;0;0
;AUSENTE;0;0;0;0;0;0;0
;SOLICITUD;0;1;0;0;0;0;0
;INCAPACIDAD;1;0;0;0;0;0;0
;VACACION;0;1;1;1;1;1;1
;LIBRE;7;6;7;7;7;8;8
;LARGO;3;3;3;3;3;3;3
;NOCHE;3;3;3;3;3;3;3
;EDIA;1;1;1;1;1;0;0
