sep=;
# Horario Semana 5

;;23;24;25;26;27;28;29;
ID;NOMBRE;LUN;MAR;MIE;JUE;VIE;SAB;DOM;LUN;
100;Arabela;Quetzalcoatl;LIBRE;LIBRE;LARGO;NOCHE;LIBRE;LIBRE;LARGO;NOCHE
110;Joana;Zapatero;LARGO;NOCHE;SOLICITUD;LARGO;NOCHE;LIBRE;LIBRE;LARGO
111;Gabbi;Perez;ELARGO;LARGO;NOCHE;LIBRE;LIBRE;LARGO;NOCHE;LIBRE
121;Esme;Wu;LIBRE;LARGO;LUTO;LUTO;LUTO;LUTO;LUTO;LUTO
131;Kitty;Yrizabal;DIA;DIA;DIA;DIA;DIA;LIBRE;LIBRE;DIA
133;Nepe;Nose;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE
145;bla;bla;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE;LIBRE
222;Arabela;Gutierrez;LIBRE;LIBRE;LARGO;NOCHE;LIBRE;ELARGO;LARGO;NOCHE
333;Joana;Velez;NOCHE;LIBRE;ENOCHE;LIBRE;LARGO;NOCHE;LIBRE;LARGO
444;Esme;Pavarotti;LIBRE;LARGO;NOCHE;LIBRE;LIBRE;LARGO;NOCHE;LIBRE
555;Gabbi;Hernandez;NOCHE;LIBRE;LIBRE;LARGO;NOCHE;LIBRE;ENOCHE;LIBRE
666;Arabela;Henriquez;NOCHE;LIBRE;LIBRE;LARGO;NOCHE;LIBRE;LIBRE;LARGO
777;Joana;Kowalsky;LARGO;NOCHE;LIBRE;LIBRE;LARGO;NOCHE;LIBRE;LIBRE
888;Esme;Kira;LIBRE;NOCHE;LIBRE;LIBRE;LARGO;NOCHE;LIBRE;LIBRE
999;Gabbi;Quiroga;VACACION;VACACION;LARGO;NOCHE;LIBRE;LIBRE;LARGO;NOCHE

;LUTO;0;0;1;1;1;1;2
;AUSENTE;0;0;0;0;0;0;0
;SOLICITUD;0;0;1;0;0;0;0
;INCAPACIDAD;0;0;0;0;0;0;0
;VACACION;1;1;0;0;0;0;0
;LIBRE;7;7;6;7;7;8;15
;LARGO;3;3;3;3;3;3;6
;NOCHE;3;3;3;3;3;3;6
;EDIA;1;1;1;1;1;0;1
